Order,Name,Kind,Gateway,Created At,Status,Amount,Currency,Card Type,Payment Method
6633952706723,#2427,sale,Bank Deposit,2026-01-31 09:08:34 +0800,pending,2614.80,PHP,"",""
6633952706723,#2427,sale,Bank Deposit,2026-04-27 14:26:29 +0800,success,2614.80,PHP,"",""
6643166118051,#2428,sale,Bank Deposit,2026-02-05 13:33:05 +0800,pending,4666.20,PHP,"",""
6645167292579,#2429,sale,Bank Deposit,2026-04-15 15:38:12 +0800,success,5068.00,PHP,"",""
6675692355747,#2430,sale,Bank Deposit,2026-05-09 17:21:34 +0800,success,7600.00,PHP,"",""
6675695894691,#2431,sale,Bank Deposit,2026-03-31 17:15:53 +0800,success,3099.00,PHP,"",""
6708362772643,#2432,sale,Bank Deposit,2026-03-12 16:08:09 +0800,pending,3111.60,PHP,"",""
6708362772643,#2432,sale,Bank Deposit,2026-03-31 17:31:02 +0800,success,3111.60,PHP,"",""
6716448571555,#2433,sale,Bank Deposit,2026-04-29 13:34:04 +0800,success,25470.00,PHP,"",""
6725474287779,#2434,sale,Bank Deposit,2026-03-20 22:48:01 +0800,pending,658.00,PHP,"",""
6725474287779,#2434,sale,Bank Deposit,2026-04-16 16:28:15 +0800,success,658.00,PHP,"",""
6726397460643,#2435,sale,Secure Payments via PayMongo,2026-03-21 06:11:08 +0800,success,1137.00,PHP,"",""
6734488961187,#2436,sale,Bank Deposit,2026-04-14 17:54:34 +0800,success,3026.20,PHP,"",""
6734505541795,#2437,sale,Bank Deposit,2026-04-15 15:39:43 +0800,success,3496.45,PHP,"",""
6754640920739,#2438,sale,Secure Payments via PayMongo,2026-04-04 10:40:51 +0800,success,1308.00,PHP,"",""
6758425428131,#2439,sale,manual,2026-05-11 18:18:58 +0800,success,15840.00,PHP,"",""
6763365433507,#2440,sale,Bank Deposit,2026-04-09 13:03:47 +0800,pending,2734.80,PHP,"",""
6763365433507,#2440,sale,Bank Deposit,2026-04-16 15:24:55 +0800,success,2734.80,PHP,"",""
6780689547427,#2441,sale,manual,2026-04-29 13:24:37 +0800,success,5196.00,PHP,"",""
6781031645347,#2442,sale,Bank Deposit,2026-04-15 21:05:55 +0800,pending,708.00,PHP,"",""
6782696751267,#2443,sale,manual,2026-04-29 13:24:38 +0800,success,4350.00,PHP,"",""
6823853621411,#2448,sale,Bank Deposit,2026-05-11 17:50:05 +0800,success,15800.00,PHP,"",""
6866068799651,#2449,sale,Bank Deposit,2026-05-25 14:47:51 +0800,success,658.00,PHP,"",""
